AZIENDA;MATRICOLA;COGNOME;NOME;CODICE_FISCALE;FILIALE;EMAIL;DATA_ASSUNZIONE;DATA_DIMISSIONE;DATA_NASCITA;DESCR_COM_NASC;PROVINCIA_NASC;NUMERO_TELEFONO;CELLULARE;INTERNO;DIPARTIMENTO;TIPO_CONTRATTO;RES_INDIRIZZO;RES_CAP;RES_CITTA;RES_PROVINCIA;DOM_INDIRIZZO;DOM_CAP;DOM_CITTA;DOM_PROVINCIA
SADAS;22;AVELLA;FABRIZIO;VLLFRZ78L21B077Q;2;fabrizio.avella@sadasdb.com;01/01/1990;;02/09/1962;MELZO;MI;27702398;27702398;;Amministrazione;Indeterminato;VIA DANTE 13;20056;GREZZAGO;MI;VIA DANTE 13;20056;GREZZAGO;MI
SADAS;23;RIGON;MUSTAPHA;RGNMTP46D09F720N;1;mustapha.rigon@sadasdb.com;14/05/1991;;19/09/1963;BOLIVIA;SE;;;;Produzione;Indeterminato;PIAZZALE ALDO MORO 37/A;26019;VAILATE;CR;PIAZZALE ALDO MORO 37/A;26019;VAILATE;CR
SADAS;24;BELLOLI;PIERANTONIO;BLLPNT56R23L400W;1;pierantonio.belloli@sadasdb.com;01/01/1990;;06/05/1964;CHIAVARI;GE;313802880;313802880;;Vendita;Indeterminato;VIA MONTESSORI 9;24040;OSIO SOPRA;BG;VIA MONTESSORI 9;24040;OSIO SOPRA;BG
SADAS;25;FEDERICI;ABDOU;FDRBDA68M03H357M;1;abdou.federici@sadasdb.com;02/08/1991;;21/09/1968;COLOGNO AL SERIO;BG;85435127;85435127;;Produzione;Indeterminato;VIA XI FEBBRAIO 13;26013;CREMA;CR;VIA XI FEBBRAIO 13;26013;CREMA;CR
SADAS;26;CAZZAMALLI;GIUSEPPE;CZZGPP85H23L845S;1;giuseppe.cazzamalli@sadasdb.com;02/06/1993;;09/02/1963;BERGAMO;BG;;;;Produzione;Indeterminato;VIA L.LOT 4;24040;OSIO SOPRA;BG;VIA L.LOT 4;24040;OSIO SOPRA;BG
SADAS;27;FINOCCHIARO;FRANCESCO;FNCFNC66B19A794G;2;francesco.finocchiaro@sadasdb.com;22/02/1993;;05/01/1971;MELZO;MI;376287923;376287923;;Produzione;Indeterminato;VIA QUARENGHI G.8;23801;CALOLZIOCORTE;LC;VIA QUARENGHI G.8;23801;CALOLZIOCORTE;LC
SADAS;28;BALDUCCHI;ANDREA;BLDNDR60C25F786F;1;andrea.balducchi@sadasdb.com;15/07/1994;;10/12/1963;TARANTO;TA;376171260;376171260;;Produzione;Indeterminato;VIA GIUSEPPE VERDI 31;24043;CARAVAGGIO;BG;VIA GIUSEPPE VERDI 31;24043;CARAVAGGIO;BG
SADAS;29;BODNAR;CAMILLO;BDNCLL88D26L419D;1;camillo.bodnar@sadasdb.com;01/01/1990;;31/05/1960;SENEGAL;SE;;;;Produzione;Indeterminato;VIA ROMA 1;24046;OSIO SOTTO;BG;VIA ROMA 1;24046;OSIO SOTTO;BG
SADAS;30;ROTA;SABER;RTOSBR35P12G856J;1;saber.rota@sadasdb.com;27/10/1993;;10/06/1971;BERGAMO;BG;2570312;2570312;;Vendita;Indeterminato;VIALE M.GRAPPA 19;20069;VAPRIO D` ADDA;MI;VIALE M.GRAPPA 19;20069;VAPRIO D` ADDA;MI
SADAS;31;GAIARDI;GUALTIERO;GRDGTR50T23A240S;1;gualtiero.gaiardi@sadasdb.com;30/11/1994;;15/04/1965;BERGAMO;BG;364882045;364882045;;Produzione;Indeterminato;VIA MISANO N.3;24047;TREVIGLIO;BG;VIA MISANO N.3;24047;TREVIGLIO;BG
SADAS;32;NORIS;GIOVANNI;NRSGNN46D26A339C;2;giovanni.noris@sadasdb.com;01/01/1990;;29/12/1960;BREMBATE;BG;397552590;397552590;;Produzione;Indeterminato;VIA ROMA 71;24030;SOLZA;BG;VIA ROMA 71;24030;SOLZA;BG
SADAS;33;CAVAGNA;ROBERTO;CVGRRT77B10E094E;3;roberto.cavagna@sadasdb.com;01/01/1990;;17/04/1972;BERGAMO;BG;;;;Marketing;Indeterminato;VIA DON BENIGNO CARRARA 5;24042;CAPRIATE SAN GERVASIO;BG;VIA DON BENIGNO CARRARA 5;24042;CAPRIATE SAN GERVASIO;BG
SADAS;34;PESENTI;ARTURO;PSNRTR56M17B650K;1;arturo.pesenti@sadasdb.com;05/03/1993;;04/01/1969;PONTE SAN PIETRO;BG;396015256;396015256;;Amministrazione;Indeterminato;VIA BRAVI 42;24030;TERNO D` ISOLA;BG;VIA BRAVI 42;24030;TERNO D` ISOLA;BG
SADAS;35;RADAVATI;AYMAN;RDVYMN66R31A794N;1;ayman.radavati@sadasdb.com;02/12/1993;;19/09/1969;MONZA;MB;315561635;315561635;;Produzione;Indeterminato;VIA UMBERTO I 36 E;24050;MORENGO;BG;VIA UMBERTO I 36 E;24050;MORENGO;BG
SADAS;36;NOSSA;SIMONE;NSSSMN47D23L400W;1;simone.nossa@sadasdb.com;24/12/1993;;19/12/1979;MAROCCO;SE;;;;Produzione;Determinato;VIA TRICOLORE 1;24047;TREVIGLIO;BG;VIA TRICOLORE 1;24047;TREVIGLIO;BG
SADAS;37;TASSI;FERDINANDO;TSSFDN36R04B442O;1;ferdinando.tassi@sadasdb.com;03/05/1995;;27/10/1972;CASTEL ROZZONE;BG;73141996;73141996;;Produzione;Indeterminato;VIA MAZZINI 63/G;24040;PONTIROLO NUOVO;BG;VIA MAZZINI 63/G;24040;PONTIROLO NUOVO;BG
SADAS;38;BERTOCCHI;MARCO;BRTMRC73D06F205O;1;marco.bertocchi@sadasdb.com;30/01/1995;;30/09/1968;BRIGNANO GERA D` ADDA;BG;459549185;459549185;;Vendita;Indeterminato;VIA MARCO POLO 43;24045;FARA GERA D` ADDA;BG;VIA MARCO POLO 43;24045;FARA GERA D` ADDA;BG
SADAS;39;BUGINI;ANDREA VITORIO;BGNNRV74P16L400Z;1;andreavitorio.bugini@sadasdb.com;21/09/1993;;02/02/1969;PRAMAGGIORE;VE;;;;Produzione;Indeterminato;VIA BUFFOLI N.10;25032;CHIARI;BS;VIA BUFFOLI N.10;25032;CHIARI;BS
SADAS;40;CHIAPPA;GIUSEPPE;CHPGPP81R31F205P;1;giuseppe.chiappa@sadasdb.com;26/06/1995;;25/08/1964;BERGAMO;BG;;;;Marketing;Indeterminato;VIALE PIAVE 14;24047;TREVIGLIO;BG;VIALE PIAVE 14;24047;TREVIGLIO;BG
SADAS;41;DAMBROSO;MAURIZIO;DMBMRZ51H25A794P;3;maurizio.dambroso@sadasdb.com;26/06/1995;;26/05/1975;MAROCCO;SE;313595365;313595365;;Produzione;Indeterminato;VIA L.DA VINCI 11;24030;SOLZA;BG;VIA L.DA VINCI 11;24030;SOLZA;BG
SADAS;42;GEROSA;SEBASTIANO;GRSSST71B17F243U;1;sebastiano.gerosa@sadasdb.com;15/08/1985;;22/05/1965;SOTTO IL MONTE GIOVANNI XXIII;BG;;;;Produzione;Determinato;VIA TESINO 22;26010;CAPERGNANICA;CR;VIA TESINO 22;26010;CAPERGNANICA;CR
SADAS;43;BORGES DOS SANTOS MACHADO;GIAMPAOLO;BRGGPL66L11A794J;1;giampaolo.borgesdossantosmachado@sadasdb.com;28/06/1995;;02/05/1975;ALBANIA;SE;751063021;751063021;;Amministrazione;Indeterminato;VIA MARCONI 2/A;20877;RONCELLO;MB;VIA MARCONI 2/A;20877;RONCELLO;MB
SADAS;44;BORTONI;CLAUDIO;BRTCLD66B12D862W;1;claudio.bortoni@sadasdb.com;28/06/1995;;26/08/1968;TRAVAGLIATO;BS;370331626;370331626;;Produzione;Indeterminato;VIA SILVIO PELLICO 10;24040;CISERANO;BG;VIA SILVIO PELLICO 10;24040;CISERANO;BG
SADAS;45;GORLA;ITALO;GRLTLI52M18G004G;2;italo.gorla@sadasdb.com;28/06/1995;;17/05/1965;FILAGO;BG;38365618;38365618;;Produzione;Indeterminato;VIA QUARTO 23;23900;LECCO;LC;VIA QUARTO 23;23900;LECCO;LC
SADAS;46;GRIEGO;WALTER FRANCESCO;GRGWTR20H18E333H;1;walterfrancesco.griego@sadasdb.com;29/06/1995;;28/11/1975;LECCO;LC;342678896;342678896;;Produzione;Indeterminato;VIALE SUARDI 23;24040;ARCENE;BG;VIALE SUARDI 23;24040;ARCENE;BG
SADAS;47;CARIOLI;MIRCO;CRLMRC83S23A794W;1;mirco.carioli@sadasdb.com;29/06/1995;;22/03/1968;TREVIGLIO;BG;29774983;29774983;;Produzione;Indeterminato;VIA DEGLI ARTIGIANI N 12/16;26014;ROMANENGO;CR;VIA DEGLI ARTIGIANI N 12/16;26014;ROMANENGO;CR
SADAS;48;COGLIATI;LUIGI;CGLLGU00M21Z318E;1;luigi.cogliati@sadasdb.com;15/08/1985;01/10/2019;03/04/1961;BERGAMO;BG;3881300;3881300;;Amministrazione;Indeterminato;VIA DONIZETTI 1;24047;TREVIGLIO;BG;VIA DONIZETTI 1;24047;TREVIGLIO;BG
SADAS;49;ALAVA ZAMBRANO;SANTINO BATTISTA;LVZSTN81E09G160A;1;santinobattista.alavazambrano@sadasdb.com;29/06/1995;;05/09/1967;TRUCCAZZANO;MI;394812533;394812533;;Produzione;Indeterminato;VIA PARTIGIANI 3;24068;SERIATE;BG;VIA PARTIGIANI 3;24068;SERIATE;BG
SADAS;50;FERRARI;ANGELO;FRRNGL96D24D597I;1;angelo.ferrari@sadasdb.com;29/06/1995;;17/05/1975;PETRONA`;CZ;333017988;333017988;;Produzione;Indeterminato;VIA ENRICO MARTINI 24;26013;CREMA;CR;VIA ENRICO MARTINI 24;26013;CREMA;CR
SADAS;51;PARRINELLO;GIANPAOLO;PRRGPL68R08D869R;1;gianpaolo.parrinello@sadasdb.com;30/06/1995;;14/09/1977;AGRATE BRIANZA;MB;375251073;375251073;;Produzione;Indeterminato;VIA GARZINI 7;26010;OFFANENGO;CR;VIA GARZINI 7;26010;OFFANENGO;CR
SADAS;52;BONDIOLI;ROBERTO;BNDRRT86C28D142X;1;roberto.bondioli@sadasdb.com;30/06/1995;30/10/2007;18/08/1973;BERGAMO;BG;;;;Produzione;Indeterminato;VIA DONIZETTI 26;24040;CALVENZANO;BG;VIA DONIZETTI 26;24040;CALVENZANO;BG
SADAS;53;CIOCAN;MICHELE;CCNMHL63A26L667W;2;michele.ciocan@sadasdb.com;30/06/1995;;11/07/1971;VERDELLINO;BG;789860560;789860560;;Vendita;Indeterminato;VIA BENZONI 10;26013;CREMA;CR;VIA BENZONI 10;26013;CREMA;CR
SADAS;54;VALSECCHI;ABDELHAQ;VLSBLH02A01H910B;2;abdelhaq.valsecchi@sadasdb.com;03/07/1995;;28/01/1971;MILANO;MI;324625866;324625866;;Produzione;Indeterminato;WARHELANDSTRASSE 61;;AALEN;SE;WARHELANDSTRASSE 61;;AALEN;SE
SADAS;55;NIANG;MARIO;NNGMRA66T15H224K;1;mario.niang@sadasdb.com;15/08/1985;;18/05/1960;MILANO;MI;310310957;310310957;;Produzione;Indeterminato;VIA CASSANO 43/D;20069;VAPRIO D` ADDA;MI;VIA CASSANO 43/D;20069;VAPRIO D` ADDA;MI
SADAS;56;POLITI;GIOVANNI;PLTGNN70M21D142M;1;giovanni.politi@sadasdb.com;03/07/1995;;17/11/1976;VAPRIO D` ADDA;MI;27520769;27520769;;Produzione;Indeterminato;VIA LIVATINO 3;24043;CARAVAGGIO;BG;VIA LIVATINO 3;24043;CARAVAGGIO;BG
SADAS;57;FODOR;GIUSEPPE GIORGIO ONORATO;FDRGPP61H30H223C;1;giuseppegiorgioonorato.fodor@sadasdb.com;04/07/1995;;28/07/1975;BERGAMO;BG;328292436;328292436;;Supporto Clienti;Indeterminato;VICOLO TEZZONE N.9;26010;OFFANENGO;CR;VICOLO TEZZONE N.9;26010;OFFANENGO;CR
SADAS;58;PARISI;MAURIZIO;PRSMRZ67E31A794Q;1;maurizio.parisi@sadasdb.com;04/07/1995;;02/01/1962;MILANO;MI;63931001;63931001;;Produzione;Indeterminato;VIA TRENTO 10;24045;FARA GERA D` ADDA;BG;VIA TRENTO 10;24045;FARA GERA D` ADDA;BG
SADAS;59;FIORINO;VITO GIANLUCA;FRNVGN34H18A246P;2;vitogianluca.fiorino@sadasdb.com;15/08/1985;;20/01/1964;TREVIGLIO;BG;876845427;876845427;;Produzione;Indeterminato;VIA 2 GIUGNO NR 22;24040;BOTTANUCO;BG;VIA 2 GIUGNO NR 22;24040;BOTTANUCO;BG
SADAS;60;CAGLIONI;FULVIO;CGLFLV11S09G856U;1;fulvio.caglioni@sadasdb.com;04/07/1995;;06/11/1972;SERIATE;BG;374759196;374759196;;Produzione;Indeterminato;VIA P.TOGLIATTI 21;26014;ROMANENGO;CR;VIA P.TOGLIATTI 21;26014;ROMANENGO;CR
SADAS;61;AKHTAR;ALBERTO;KHTLRT43T13L259H;1;alberto.akhtar@sadasdb.com;05/07/1995;;26/02/1971;TREVIGLIO;BG;392171441;392171441;;Produzione;Indeterminato;STRADA VIC.LE DELLE SABBIONE 2/;26010;OFFANENGO;CR;STRADA VIC.LE DELLE SABBIONE 2/;26010;OFFANENGO;CR
SADAS;63;ROSSONI;GIUSEPPE;RSSGPP63A30M052E;2;giuseppe.rossoni@sadasdb.com;05/07/1995;;31/08/1974;CALVENZANO;BG;;;;Supporto Clienti;Indeterminato;VIA 2 CORTE 22/A;20062;CASSANO D` ADDA;MI;VIA 2 CORTE 22/A;20062;CASSANO D` ADDA;MI
SADAS;64;CARDANI;EFREM;CRDFRM86C21G856B;2;efrem.cardani@sadasdb.com;05/07/1995;;15/02/1960;BERGAMO;BG;246243;246243;;Produzione;Indeterminato;VICOLO PAGANELLI DI SOTTO 5;24041;BREMBATE;BG;VICOLO PAGANELLI DI SOTTO 5;24041;BREMBATE;BG
SADAS;65;ROSSONI;DAMIANO;RSSDMN99C30A940H;2;damiano.rossoni@sadasdb.com;05/07/1995;;03/08/1975;MONZA;MB;73256557;73256557;;Produzione;Indeterminato;VIA DEL PALADINO N.18;26010;OFFANENGO;CR;VIA DEL PALADINO N.18;26010;OFFANENGO;CR
SADAS;66;PAVESI;LORENZO ERNESTO;PVSLNZ29B28L404A;1;lorenzoernesto.pavesi@sadasdb.com;05/07/1995;;12/05/1979;SLOVACCHIA;SE;377955527;377955527;;Vendita;Indeterminato;VIA MICHELANGELO 1;26900;LODI;LO;VIA MICHELANGELO 1;26900;LODI;LO
SADAS;67;BOVE;GIANCARLO;BVOGCR27L16L400J;1;giancarlo.bove@sadasdb.com;06/07/1995;;09/07/1965;TREVIGLIO;BG;;;;Produzione;Indeterminato;VIA BOLDORI N.34;26013;CREMA;CR;VIA BOLDORI N.34;26013;CREMA;CR
SADAS;68;PANZERA;VALERIO;PNZVLR89T30M102O;1;valerio.panzera@sadasdb.com;06/07/1995;;07/08/1971;FARA GERA D` ADDA;BG;;;;Produzione;Indeterminato;VIA BERIZZI 2;24030;PRESEZZO;BG;VIA BERIZZI 2;24030;PRESEZZO;BG
SADAS;69;ARNOLDI;STEFANO;RNLSFN58S02D142P;1;stefano.arnoldi@sadasdb.com;06/07/1995;;18/03/1960;TREVIGLIO;BG;56523272;56523272;;Marketing;Indeterminato;VIA GARIBALDI 6 A;26027;RIVOLTA D` ADDA;CR;VIA GARIBALDI 6 A;26027;RIVOLTA D` ADDA;CR
SADAS;70;CASTELLETTI;STEFANO;CSTSFN59R17I158F;4;stefano.castelletti@sadasdb.com;06/07/1995;;26/02/1968;GUINEA;SE;384022640;384022640;;Produzione;Indeterminato;VIA KENNEDY 15;24040;CASIRATE D` ADDA;BG;VIA KENNEDY 15;24040;CASIRATE D` ADDA;BG
SADAS;71;SALA;GIACOMO;SLAGCM63L13F205W;1;giacomo.sala@sadasdb.com;06/07/1995;;07/11/1967;TREVIGLIO;BG;33576782;33576782;;Produzione;Indeterminato;VIA MORO 20;24040;MISANO DI GERA D` ADDA;BG;VIA MORO 20;24040;MISANO DI GERA D` ADDA;BG
SADAS;73;FUMAGALLI;SERGIO;FMGSRG63C08D142W;1;sergio.fumagalli@sadasdb.com;07/07/1995;;24/03/1975;CANONICA D` ADDA;BG;;;;Produzione;Indeterminato;VIA C.TERNI 30;24047;TREVIGLIO;BG;VIA C.TERNI 30;24047;TREVIGLIO;BG
SADAS;74;SEGHEZZI;ALDO;SGHLDA64S16D142I;1;aldo.seghezzi@sadasdb.com;07/07/1995;;28/07/1971;SERRASTRETTA;CZ;65523343;65523343;;Marketing;Indeterminato;VIA FREDDA 5;23808;VERCURAGO;LC;VIA FREDDA 5;23808;VERCURAGO;LC
SADAS;75;ROTA;MARIO;RTOMRA51B11L400Q;2;mario.rota@sadasdb.com;15/08/1985;;25/07/1960;BERGAMO;BG;338302901;338302901;;Produzione;Indeterminato;VIA TREVIGLIO 3169;24045;FARA GERA D` ADDA;BG;VIA TREVIGLIO 3169;24045;FARA GERA D` ADDA;BG
SADAS;76;NAPOLI;EMILIO;NPLMLE70R20L400E;1;emilio.napoli@sadasdb.com;07/07/1995;;25/01/1970;CARAVAGGIO;BG;364408775;364408775;;Vendita;Indeterminato;VIA SAN GREGORIO 4;24040;CASIRATE D` ADDA;BG;VIA SAN GREGORIO 4;24040;CASIRATE D` ADDA;BG
SADAS;77;BRESCIANI;VINCENZO;BRSVCN72E10E349E;2;vincenzo.bresciani@sadasdb.com;07/07/1995;;19/09/1975;BERGAMO;BG;69882218;69882218;;Produzione;Indeterminato;VIA RIPAFREDDA N.11;26014;ROMANENGO;CR;VIA RIPAFREDDA N.11;26014;ROMANENGO;CR
SADAS;78;BRENDOLAN;GIOVANNI;BRNGNN81C03A794N;1;giovanni.brendolan@sadasdb.com;10/07/1995;;09/10/1975;GORGONZOLA;MI;332122916;332122916;;Produzione;Indeterminato;VIA G.B.MORONI 2;23808;VERCURAGO;LC;VIA G.B.MORONI 2;23808;VERCURAGO;LC
SADAS;79;AWARKE;FABIO;WRKFBA58C19C351E;2;fabio.awarke@sadasdb.com;10/07/1995;01/07/2017;19/07/1967;TREVIGLIO;BG;;;;Supporto Clienti;Indeterminato;VIA BORGHI INFERIORI 38;26019;VAILATE;CR;VIA BORGHI INFERIORI 38;26019;VAILATE;CR
SADAS;80;BONATI;FRANCESCO;BNTFNC74P28A794E;1;francesco.bonati@sadasdb.com;10/07/1995;;26/07/1962;BERGAMO;BG;310589311;310589311;;Produzione;Indeterminato;VIA TORQUATO TASSO 1;24040;SUISIO;BG;VIA TORQUATO TASSO 1;24040;SUISIO;BG
SADAS;81;CARLINI;MICHELE;CRLMHL63D18G233C;2;michele.carlini@sadasdb.com;10/07/1995;;12/06/1970;GIFFONE;RC;378784551;378784551;;Produzione;Determinato;VIA ABELE CRESPI 85;24045;FARA GERA D` ADDA;BG;VIA ABELE CRESPI 85;24045;FARA GERA D` ADDA;BG
SADAS;82;ARNOLDI;ALKET;RNLLKT69L01C773O;1;alket.arnoldi@sadasdb.com;11/07/1995;;23/09/1971;ISEO;BS;85468762;85468762;;Produzione;Indeterminato;VIA PALADINO 26;26010;OFFANENGO;CR;VIA PALADINO 26;26010;OFFANENGO;CR
SADAS;83;CERVI;MARIO;CRVMRA87C09D789X;2;mario.cervi@sadasdb.com;11/07/1995;;12/09/1976;MEZZAGO;MB;313472594;313472594;;Produzione;Indeterminato;VIA PERTINI N.11;26014;ROMANENGO;CR;VIA PERTINI N.11;26014;ROMANENGO;CR
SADAS;84;MODANESI;FAUSTINO;MDNFTN01R30A794S;1;faustino.modanesi@sadasdb.com;11/07/1995;;24/12/1975;DOMEGGE DI CADORE;BL;381532823;381532823;;Amministrazione;Indeterminato;VIA G.CARDUCCI 37/39;20060;TRUCCAZZANO;MI;VIA G.CARDUCCI 37/39;20060;TRUCCAZZANO;MI
SADAS;85;FERRI;STEFANO;FRRSFN64A16L400J;1;stefano.ferri@sadasdb.com;11/07/1995;;24/06/1965;MILANO;MI;47969753;47969753;;Amministrazione;Indeterminato;VIA ANGELO MAJ 16;24066;PEDRENGO;BG;VIA ANGELO MAJ 16;24066;PEDRENGO;BG
SADAS;86;VISCARDI;EUGENIO;VSCGNE80T10L400P;1;eugenio.viscardi@sadasdb.com;11/07/1995;;08/07/1977;BAGNOLO CREMASCO;CR;348722352;348722352;;Produzione;Indeterminato;VIA SAN BIAGIO 1 C;24048;TREVIOLO;BG;VIA SAN BIAGIO 1 C;24048;TREVIOLO;BG
